,,,,,,
,,,,,,
,,,,,,
,Picture,UUID,Raw DAT💾,Object Name/Download💾,Type,Description (if available)
,,00000000-00000000-00000000-00040000,3255303864_DAT,Jeans,Male Legs,Classic jeans
,,00000000-00000000-00000000-00040005,3460718091_DAT,Beige Cargo Pants,Male Legs,Functional and stylish beige cargo-pants. [#Legal]
,,00000000-00000000-00000000-00040006,2779752176_DAT,Black Cargo Pants,Male Legs,For night manoeuvres or for relaxing in your personal space these black cargo pants are perfect. [#Legal]
,,00000000-00000000-00000000-00040007,3818468723_DAT,Cargo Pants,Male Legs,
,,00000000-00000000-00000000-00040008,1417820346_DAT,Urban-Camo Cargo Pants,Male Legs,"Whether exploring the great outdoors or lounging about, these camouflage cargo pants are perfect. [#Legal]"
,,00000000-00000000-00000000-00040013,3194965348_DAT,Sweat Pants,Male Legs,
,,00000000-00000000-00000000-00040017,3357574676_DAT,Drainpipe Jeans,Male Legs,"Skintight, drainpipe jeans.  [#Legal]"
,,00000000-00000000-00000000-00040022,2514779848_DAT,Regular Trousers,Male Legs,Regular Trousers
,,00000000-00000000-00000000-00040026,1007547916_DAT,Smart Trousers,Male Legs,Smart Trousers [#Legal]
,,00000000-00000000-00000000-00040027,3246916103_DAT,Tartan Corduroy Jeans,Male Legs,The free-spirited amongst us need look no further than these red tartan corduroy jeans. [#Legal]
,,00000000-00000000-00000000-00040028,2565950188_DAT,Red Corduroy Jeans,Male Legs,Stand out from the crowd with these attention-grabbing red corduroy jeans. [#Legal]
,,00000000-00000000-00000000-00040030,4292775133_DAT,White Corduroy Jeans,Male Legs,Classic wear-anywhere white corduroy jeans. [#Legal]
,,00000000-00000000-00000000-00040031,1834594348_DAT,Leather Pants,Male Legs,Heavy duty leather pants. Essential for that biker look. [#Legal]
,,00000000-00000000-00000000-00040033,2249877388_DAT,Black Cargo Shorts,Male Legs,Versatile black cargo shorts. Dress up with a short-sleeved shirt or down with a distressed T-shirt. [#Legal]
,,00000000-00000000-00000000-00040034,1846287301_DAT,Jungle-Camo Cargo Shorts,Male Legs,You don't need to be exploring the jungle to enjoy these great-looking cargo shorts. [#Legal]
,,00000000-00000000-00000000-00040035,327362416_DAT,Cargo Shorts,Male Legs,"Casual cargo shorts, with large side pockets, perfect for a summer’s day. [#Legal]"
,,00000000-00000000-00000000-00040036,206979643_DAT,Green Cargo Shorts,Male Legs,Green cargo shorts. Ideal for the active layabout. [#Legal]
,,00000000-00000000-00000000-00040037,3820981024_DAT,Grey Cargo Shorts,Male Legs,Versatile grey cargo shorts. Whether you're on the go or just kicking-back. [#Legal]
,,00000000-00000000-00000000-00040039,3115097780_DAT,Baggy Jeans,Male Legs,
,,00000000-00000000-00000000-00040040,1154408848_DAT,Baggy Jeans,Male Legs,"Low slung, baggy, faded blue denim jeans for that relaxed urban style.  [#Legal]"
,,00000000-00000000-00000000-00040051,1868091030_DAT,Jeans with Turnups,Male Legs,"Simple, comfortable turn-up jeans. [#Legal]"
,,00000000-00000000-00000000-00050000,142186061_DAT,Smart Shoes,Male Feet,
,,00000000-00000000-00000000-00050002,2578958879_DAT,Classic Trainers,Male Feet,
,,00000000-00000000-00000000-00050012,448223572_DAT,Basketball Boots,Male Feet,Athletic eight-hole basketball boots with toe cap detail. [#Legal]
,,00000000-00000000-00000000-00050014,1842091254_DAT,Suede Trainers,Male Feet,Suede Trainers [#Legal]
,,00000000-00000000-00000000-00050019,3179276811_DAT,Slip-on Trainers,Male Feet,"Smart, comfortable and practical slip on trainers with line detailing on the sides. [#Legal]"
,,00000000-00000000-00000000-00050021,4063005368_DAT,Biker Boots,Male Feet,"No nonsense, tough leather boots for everyday and everywhere. [#Legal]"
,,00000000-00000000-00000000-00050024,4006323243_DAT,Chelsea Boots,Male Feet,Chelsea Boots [#Legal]
,,00000000-00000000-00000000-00050028,2499091311_DAT,Work Boots,Male Feet,
,,00000000-00000000-00000000-00050031,1932270061_DAT,Winklepicker Shoes,Male Feet,"The classic and always elegant wincklepicker, for that suave touch to any outfit. [#Legal]"
,,00000000-00000000-00000000-00050035,425038129_DAT,Skate Shoes,Male Feet,
,,00000000-00000000-00000000-00050038,368356004_DAT,Bare feet,Male Feet,
,,00000000-00000000-00000000-00050041,1072756336_DAT,Pink Slip-On Skate Shoes,Male Feet,Simple but classic pink skate shoes for comfort in style. [#Legal]
,,00000000-00000000-00000000-00060001,4127184399_DAT,Heavy Frame Glasses,Male Glasses,
,,00000000-00000000-00000000-00060002,2676634592_DAT,Thin Framed Glasses,Male Glasses,Thin Framed Glasses [#Legal]
,,00000000-00000000-00000000-00060003,2891381611_DAT,Headband Headphones,Male HeadPhones,Show your passion for music in these classic styled headphones. [#Legal]
,,00000000-00000000-00000000-00060004,4070502274_DAT,Over ear headphones,Male HeadPhones,
,,00000000-00000000-00000000-00060005,2619952467_DAT,Neckband Headphones,Male HeadPhones,Show your love for music in these neckband earphones.  [#Legal]
,,00000000-00000000-00000000-00060006,848483866_DAT,Aviator Sunglasses,Male Glasses,Always look great in these timeless sunglasses.  [#Legal]
,,00000000-00000000-00000000-00060007,306205865_DAT,Heart Shaped Sunglasses,Male Glasses,"Add a little pizzazz to your summer look, with these heart shaped sunglasses. [#Legal]"
,,00000000-00000000-00000000-00060008,2563270342_DAT,Sport Sunglasses,Male Glasses,
,,00000000-00000000-00000000-00060010,1213376981_DAT,Star Shaped Sunglasses,Male Glasses,Shine brightly in these fun star shaped sunglasses. [#Legal]
,,00000000-00000000-00000000-00060011,1996449092_DAT,Black Glasses,Male Glasses,"Classic, black framed glasses. [#Legal]"
,,00000000-00000000-00000000-00060012,4146412447_DAT,Small Square Framed Sunglasses,Male Glasses,Looking for a more unique pair of sunglasses? Try these on for size. [#Legal]
,,00000000-00000000-00000000-00060013,3465446532_DAT,Oval Sunglasses,Male Glasses,Frame your face in style with these sleek oval sunglasses.  [#Legal]
,,00000000-00000000-00000000-00070003,462987302_DAT,Both Silver Square Stud,Male JewelBothEars,Both Silver Square Stud [#Legal]
,,00000000-00000000-00000000-00070007,4111495862_DAT,Left Square Stud,Male JewelLeftEar,
,,00000000-00000000-00000000-00070008,2660946055_DAT,Right Square Stud,Male JewelRightEar,
,,00000000-00000000-00000000-00070009,1210396248_DAT,Both Gold Square Studs,Male JewelBothEars,
,,00000000-00000000-00000000-00080001,27568529_DAT,Thin Moustache,Male FacialHair,
,,00000000-00000000-00000000-00080003,752081430_DAT,Extra Thick Moustache,Male FacialHair,
,,00000000-00000000-00000000-00080004,4265853700_DAT,Medium Moustache,Male FacialHair,
,,00000000-00000000-00000000-00080005,2815303893_DAT,Gentleman's Moustache,Male FacialHair,
,,00000000-00000000-00000000-00080006,3350870766_DAT,Turned Up Moustache,Male FacialHair,
,,00000000-00000000-00000000-00080007,4209171575_DAT,Extra Long Moustache,Male FacialHair,
,,00000000-00000000-00000000-00080008,2758621768_DAT,Full Braided Beard,Male FacialHair,Full Braided Beard  [#Legal]
,,00000000-00000000-00000000-00080009,961253236_DAT,Ponderer Beard,Male FacialHair,Ponderer Beard  [#Legal]
,,00000000-00000000-00000000-00080014,645180436_DAT,Long Sideburns,Male FacialHair,Long Sideburns [#Legal]
,,00000000-00000000-00000000-00080015,33558478_DAT,Thick Sideburns,Male FacialHair,Thick Sideburns [#Legal]
,,00000000-00000000-00000000-01010001,4212870755_DAT,Ponytail,Female Hair,
,,00000000-00000000-00000000-01010002,2762320948_DAT,Ponytail with Fringe,Female Hair,
,,00000000-00000000-00000000-01010003,4113322192_DAT,Pigtails,Female Hair,
,,00000000-00000000-00000000-01010004,3432356277_DAT,Short Crop,Female Hair,Short Crop [#Legal]
,,00000000-00000000-00000000-01010005,2705638823_DAT,Bob,Female Hair,
,,00000000-00000000-00000000-01010006,1255089016_DAT,Punky,Female Hair,
,,00000000-00000000-00000000-01010007,4099506505_DAT,Large Afro,Female Hair,
,,00000000-00000000-00000000-01010008,2648956698_DAT,Shaved,Female Hair,
,,00000000-00000000-00000000-01010009,27526702_DAT,Loose Hair Up,Female Hair,
,,00000000-00000000-00000000-01010010,3532685255_DAT,Sleek Bob,Female Hair,
,,00000000-00000000-00000000-01010013,3476003130_DAT,Mid length with Alice Band,Female Hair,
,,00000000-00000000-00000000-01010014,4006421198_DAT,Sleek Crop,Female Hair,Description [#Legal]
,,00000000-00000000-00000000-01010015,3325455283_DAT,Layered Bob,Female Hair,
,,00000000-00000000-00000000-01010016,2644489368_DAT,Chunky Mid Length Layered,Female Hair,
,,00000000-00000000-00000000-01010017,1968771198_DAT,Punk Spikes,Female Hair,
,,00000000-00000000-00000000-01010018,518221391_DAT,Sleek Side Parting,Female Hair,
,,00000000-00000000-00000000-01010019,3362638880_DAT,Mohawk,Female Hair,
,,00000000-00000000-00000000-01010020,3009382483_DAT,Cropped Mohawk,Female Hair,
,,00000000-00000000-00000000-01010021,4246367437_DAT,Mid Length Wavy,Female Hair,
,,00000000-00000000-00000000-01010022,2795817630_DAT,Fringed Bob,Female Hair,
,,00000000-00000000-00000000-01010024,285518823_DAT,Bantu Knots,Female Hair,
,,00000000-00000000-00000000-01010028,2682453380_DAT,Beanie Hat,Female Hat,
,,00000000-00000000-00000000-01010034,2058950005_DAT,Bucket Hat,Female Hat,
,,00000000-00000000-00000000-01010035,386649700_DAT,Blue Floral Bucket Hat,Female Hat,Look your best with this blue floral-patterned bucket hat. [#Legal]
,,00000000-00000000-00000000-01010038,551718073_DAT,Baseball Cap,Female Hat,
,,00000000-00000000-00000000-01010043,1378764505_DAT,Do-rag,Female Hat,Keep your hair under control with this do-rag. An essential accessory. [#Legal]
,,00000000-00000000-00000000-01010045,960714621_DAT,Pink-Camo Do-Rag,Female Hat,The do-rag gets a feminine twist with the pink camouflage pattern. [#Legal]
,,00000000-00000000-00000000-01010050,644641821_DAT,Stars &amp; Stripes Do-rag,Female Hat,"Support the stars and stripes with the ""Old Glory"" do-rag. [#Legal]"
,,00000000-00000000-00000000-01010053,2688679501_DAT,Red Flat Cap,Female Hat,"A classic flat cap, great for all seasons. [#Legal]"
,,00000000-00000000-00000000-01010059,2897851307_DAT,Cow Girl Hat,Female Hat,A classic cow girl hat with simple leather band. [#Legal]
,,00000000-00000000-00000000-01010062,2862810994_DAT,Beret,Female Hat,Beret [#Legal]
,,00000000-00000000-00000000-01020000,3935857499_DAT,Bare Hands,Female Hands,
,,00000000-00000000-00000000-01020001,15579172_DAT,Fingerless Lace Gloves,Female Hands,
,,00000000-00000000-00000000-01030008,3964946968_DAT,Home T-Shirt,Female Tors,
,,00000000-00000000-00000000-01030009,1393758317_DAT,T-Shirt,Female Tors,
,,00000000-00000000-00000000-01030019,3557990306_DAT,Layered T-Shirt,Female Tors,Casual long sleeve t-shirt layered under a short sleeve top. [#Legal]
,,00000000-00000000-00000000-01030025,2934486931_DAT,Sports Vest,Female Tors,
,,00000000-00000000-00000000-01030032,860433749_DAT,Capped Sleeved T-Shirt,Female Tors,
,,00000000-00000000-00000000-01030034,2254301431_DAT,Leather Jacket,Female Tors,"Modern, colourful biker jacket, stylish and tough.  [#Legal]"
,,00000000-00000000-00000000-01030036,3648169113_DAT,Denim Jacket,Female Tors,Stylish Denim Jacket with breast pockets and simple stitching detail on front. [#Legal]
,,00000000-00000000-00000000-01030042,1072344056_DAT,Black and White Padded Gilet over Fleece,Female Tors,A comfy black puffer vest jacket over a fleece long sleeved shirt. [#Legal]
,,00000000-00000000-00000000-01030044,4005379522_DAT,Brown and Cream Padded Gilet over Fleece,Female Tors,A comfy brown puffer vest jacket over a fleece long sleeved shirt. [#Legal]
,,00000000-00000000-00000000-01030045,3324413607_DAT,Grey and Black Padded Gilet over Fleece,Female Tors,A comfy puffer vest jacket over a fleece long sleeved shirt.  [#Legal]
,,00000000-00000000-00000000-01030046,1517433806_DAT,Padded Gilet over Fleece,Female Tors,"A comfy puffer vest jacket over a fleece, long sleeved shirt.  [#Legal]"
,,00000000-00000000-00000000-01030060,1664294738_DAT,Tanktop over Frilly Blouse,Female Tors,Tanktop over Frilly Blouse [#Legal]
,,00000000-00000000-00000000-01030061,2901439813_DAT,Charcoal Tank Top over Violet Blouse,Female Tors,Smart or casual? This violet blouse and charcoal tank top combination will ensure you look your best. [#Legal]
,,00000000-00000000-00000000-01030062,2220473898_DAT,Pink Tank Top over White Blouse,Female Tors,"Dressing to impress or just to look good, this white blouse and pink tank top is the answer. [#Legal]"
,,00000000-00000000-00000000-01030063,1539507983_DAT,Yellow Tank Top over Black Blouse,Female Tors,Great in the office or out and about. You can't go wrong with this black blouse and yellow tank top combination. [#Legal]
,,00000000-00000000-00000000-01030065,177576153_DAT,Black Turtle Neck,Female Tors,Snug fitting black turtle neck top. [#Legal]
,,00000000-00000000-00000000-01030066,3791577534_DAT,Pink Turtle Neck,Female Tors,Snug fitting pink turtle neck top. [#Legal]
,,00000000-00000000-00000000-01030068,2429645704_DAT,Yellow Turtle Neck,Female Tors,Snug fitting yellow turtle neck top. [#Legal]
,,00000000-00000000-00000000-01030075,870744988_DAT,Off The Shoulder Top,Female Tors,
,,00000000-00000000-00000000-01030078,814062863_DAT,Halterneck,Female Tors,Close fitting authentic halterneck. [#Legal]
,,00000000-00000000-00000000-01030084,2006671910_DAT,Brown and Grey Rugby Top,Female Tors,"Classic, close fitting rugby top with broad brown and grey horizontal stripes. [#Legal]"
,,00000000-00000000-00000000-01030085,1325705995_DAT,Black and Green Rugby Top,Female Tors,"Classic, close fitting rugby top with broad black and green horizontal stripes. [#Legal]"
,,00000000-00000000-00000000-01030086,644740080_DAT,Pink and Grey Rugby Top,Female Tors,"Classic, close fitting rugby top with broad pink and grey horizontal stripes. [#Legal]"
,,00000000-00000000-00000000-01030087,4258741461_DAT,Red and Blue Rugby Top,Female Tors,"Classic, close fitting rugby top with broad red and blue horizontal stripes. [#Legal]"
,,00000000-00000000-00000000-01040000,1111833824_DAT,Blue Jeans (default inventory),Female Legs,no translation required
,,00000000-00000000-00000000-01040007,848071586_DAT,Black Trousers,Female Legs,"Timeless smart black trousers, great for any occasion. [#Legal]"
,,00000000-00000000-00000000-01040010,1893930616_DAT,White Trousers,Female Legs,"Timeless smart white trousers, great for any occasion. [#Legal]"
,,00000000-00000000-00000000-01040011,1004932830_DAT,Capri Pants,Female Legs,
,,00000000-00000000-00000000-01040022,3088844769_DAT,Sweat Pants,Female Legs,"Casual and comfy, for that athletic look. [#Legal]"
,,00000000-00000000-00000000-01040023,1638294962_DAT,Hotpants,Female Legs,
,,00000000-00000000-00000000-01040028,1315235513_DAT,Black Flares with a Red Belt,Female Legs,"If you want to look good out and about, you can't beat these classic black flares offset by a red sash belt. [#Legal]"
,,00000000-00000000-00000000-01040033,3802526951_DAT,Leather Pants,Female Legs,"Tight fitting, leather pants. A true classic. [#Legal]"
,,00000000-00000000-00000000-01040039,3689162701_DAT,Smart Shorts,Female Legs,Smart and cool for those lovely summer days. [#Legal]
,,00000000-00000000-00000000-01040040,3616125379_DAT,Black Lace-trimmed Skirt,Female Legs,Combining a black lace trim and a wide-waistband take this style from simple to chic in just one move. [#Legal]
,,00000000-00000000-00000000-01040041,2935159464_DAT,Green Tartan Lace-trimmed Skirt,Female Legs,A great looking mini with lace-trim gets a makeover with a green tartan detail. [#Legal]
,,00000000-00000000-00000000-01040042,2254193549_DAT,Red Lace-trimmed Skirt,Female Legs,The black-lace trim gives this red silk mini an extra punch of personality. [#Legal]
,,00000000-00000000-00000000-01040043,2257951128_DAT,Lace Trimmed Skirt,Female Legs,
,,00000000-00000000-00000000-01040044,892261719_DAT,Lace-trimmed Skirt with Skull Pattern,Female Legs,A great looking mini with lace-trim and a skull pattern. [#Legal]
,,00000000-00000000-00000000-01040045,3065659326_DAT,Combat Trousers,Female Legs,
,,00000000-00000000-00000000-01040055,577328854_DAT,Dark Blue Drainpipe Jeans,Female Legs,"Skintight, dark blue drainpipe jeans.  [#Legal]"
,,00000000-00000000-00000000-01040061,311420644_DAT,Jeans with Turnups,Female Legs,"Simple, comfortable turn-up jeans. [#Legal]"
,,00000000-00000000-00000000-01050002,1824506852_DAT,Bar Shoes,Female Feet,
,,00000000-00000000-00000000-01050014,2416156175_DAT,Sandals,Female Feet,
,,00000000-00000000-00000000-01050019,1242054170_DAT,Yellow Sandals,Female Feet,A splash of yellow brings these stylish sandals to life. [#Legal]
,,00000000-00000000-00000000-01050020,3649845030_DAT,White Sandals,Female Feet,These sandals look great with anything. [#Legal]
,,00000000-00000000-00000000-01050024,285420868_DAT,Basketball Boots,Female Feet,Athletic eight-hole basketball boots with toe cap detail. [#Legal]
,,00000000-00000000-00000000-01050028,3073156232_DAT,Court Shoes,Female Feet,
,,00000000-00000000-00000000-01050034,1292014420_DAT,Pointed Ankle Boots,Female Feet,Brown leather ankle boots with pointed toes and buckle detail.  [#Legal]
,,00000000-00000000-00000000-01050039,3786838414_DAT,Biker Boots,Female Feet,"Rugged, tough boots. Great in any conditions. [#Legal]"
,,00000000-00000000-00000000-01050041,375599675_DAT,Work Boots,Female Feet,A solid seven holed work boot. [#Legal]
,,00000000-00000000-00000000-01050048,3106652914_DAT,Walking Sandals,Female Feet,Free those toes with these strappy leather sandals. [#Legal]
,,00000000-00000000-00000000-01050049,2964248933_DAT,Tan Walking Sandals,Female Feet,Look and feel great in these tan walking sandals. [#Legal]
,,00000000-00000000-00000000-01050050,1077072497_DAT,White Walking Sandals,Female Feet,"Casual, comfortable and practical, these white walking sandals will make you look and feel great. [#Legal]"
,,00000000-00000000-00000000-01050051,396106582_DAT,Black &amp; Grey Trainers,Female Feet,Retro-style trainers in black and grey with vibrant red laces and purple socks. [#Legal]
,,00000000-00000000-00000000-01050052,1089281857_DAT,Sports Trainers,Female Feet,
,,00000000-00000000-00000000-01050054,2648176133_DAT,Red &amp; Beige Trainers,Female Feet,Red and beige retro trainers with light blue laces and lilac socks. [#Legal]
,,00000000-00000000-00000000-01050055,1032599732_DAT,Bare feet,Female Feet,
,,00000000-00000000-00000000-01050056,3877017221_DAT,Heels,Female Feet,Heels [#Legal]
,,00000000-00000000-00000000-01060001,406282024_DAT,Circular Framed Spectacles,Female Glasses,Circular Framed Spectacles [#Legal]
,,00000000-00000000-00000000-01060002,3250699513_DAT,Light Frame Glasses,Female Glasses,
,,00000000-00000000-00000000-01060004,349599899_DAT,Earclip Headphones,Female HeadPhones,Show your love for music in these Earclip earphones.  [#Legal]
,,00000000-00000000-00000000-01060005,3194017388_DAT,Neckband Headphones,Female HeadPhones,
,,00000000-00000000-00000000-01060006,3892736487_DAT,70's Sunglasses,Female Glasses,Be unique in these great vintage 70's sunglasses. [#Legal]
,,00000000-00000000-00000000-01060011,2570514013_DAT,Big Sunglasses,Female Glasses,
,,00000000-00000000-00000000-01060012,2895697772_DAT,Half Frame Sunglasses,Female Glasses,Protect your eyes in these cool half frame sunglasses. [#Legal]
,,00000000-00000000-00000000-01060013,2899455351_DAT,Wraparound Sunglasses,Female Glasses,Smooth lines and wide frames in these stylish wraparound sunglasses.   [#Legal]
